Instructor,Course.Number,Total.Students,A,B,C,D,F,W,Avg.GPA
"Wang, Zhiguang",ACCY 301,376,45%,47%,7%,1%,0%,0%,3.32
"Sougiannis, Theodore",ACCY 301,151,30%,60%,7%,0%,2%,0%,3.14
"Sougiannis, Theodore",ACCY 511,487,52%,46%,2%,0%,0%,0%,3.48
"Finnegan, Thomas",ACCY 302,393,40%,54%,4%,2%,0%,0%,3.32
"Finnegan, Thomas",ACCY 301,439,42%,52%,5%,0%,0%,1%,3.37
"Finnegan, Thomas",ACCY 200,107,94%,6%,0%,0%,0%,0%,3.96
"Finnegan, Thomas",ACCY 500,64,92%,8%,0%,0%,0%,0%,3.92
"Finnegan, Thomas",ACCY 505,696,84%,16%,0%,0%,0%,0%,3.83
"Wu, Martin G",ACCY 302,228,45%,45%,9%,1%,0%,0%,3.3
"Wu, Martin G",ACCY 304,710,55%,41%,3%,0%,0%,0%,3.47
"Wu, Martin G",ACCY 512,173,62%,37%,1%,0%,0%,0%,3.61
"Wu, Martin G",ACCY 503,59,76%,22%,2%,0%,0%,0%,3.67
"Zhu, Wei",ACCY 303,422,44%,36%,14%,5%,0%,0%,3.18
"Brown, Timothy J",ACCY 303,687,49%,42%,7%,1%,0%,0%,3.34
"Li, Wei",ACCY 303,1033,43%,49%,6%,2%,0%,0%,3.32
"Li, Wei",ACCY 200,62,84%,16%,0%,0%,0%,0%,3.81
"Koo, Seung Hyun",ACCY 304,503,44%,44%,9%,3%,0%,0%,3.3
"Wang, Wei",ACCY 304,421,45%,47%,5%,2%,1%,0%,3.33
"Wang, Wei",PSYC 245,230,43%,41%,13%,2%,1%,0%,3.25
"Wang, Wei",CHEM 105,110,58%,35%,3%,4%,0%,0%,3.42
"Holder, Daniel E",ACCY 312,405,44%,41%,12%,1%,0%,1%,3.29
"Holder, Daniel E",ACCY 505,60,68%,25%,7%,0%,0%,0%,3.62
"Holder, Daniel E",ACCY 556,112,52%,45%,4%,0%,0%,0%,3.41
"Holder, Charles B",ACCY 312,75,37%,53%,9%,0%,0%,0%,3.36
"Holder, Charles B",ACCY 505,32,59%,41%,0%,0%,0%,0%,3.66
"Hutchens, Matthew",ACCY 312,103,47%,48%,4%,1%,0%,1%,3.33
"Bauer, Timothy D",ACCY 405,817,42%,54%,4%,0%,0%,0%,3.4
"Steward, Cynthia G",ACCY 410,287,41%,47%,9%,1%,0%,1%,3.26
"Steward, Cynthia G",ACCY 510,358,60%,35%,5%,0%,0%,0%,3.57
"Steward, Cynthia G",ACCY 511,133,46%,50%,4%,0%,0%,0%,3.4
"Kustanovich, Michael",ACCY 410,645,52%,38%,7%,2%,0%,1%,3.36
"Ciconte, William",ACCY 415,294,38%,53%,8%,0%,0%,0%,3.28
"Donohoe, Michael P",ACCY 451,109,50%,43%,6%,1%,0%,0%,3.44
"Donohoe, Michael P",ACCY 312,718,42%,44%,9%,3%,0%,0%,3.23
"Sternburg, Thomas",ACCY 451,193,24%,76%,0%,0%,0%,0%,3.27
"Sternburg, Thomas",ACCY 551,268,24%,76%,0%,0%,0%,0%,3.27
"Sternburg, Thomas",ACCY 552,238,36%,63%,0%,0%,0%,0%,3.36
"Sternburg, Thomas",ACCY 553,111,41%,59%,0%,0%,0%,0%,3.41
"Augusto Sampaio, Gerlando",ACCY 500,145,53%,47%,0%,0%,0%,0%,3.49
"Zhang, Li",ACCY 500,308,47%,45%,6%,1%,0%,0%,3.36
"Zhang, Li",FIN 580,240,89%,10%,1%,0%,0%,0%,3.86
"Zhang, Li",ACCY 517,132,63%,37%,0%,0%,0%,0%,3.61
"Zhang, Li",ACCY 302,32,47%,44%,9%,0%,0%,0%,3.34
"Zhang, Li",ACCY 502,87,39%,48%,11%,1%,0%,0%,3.29
"Davis, Gregory L",ACCY 501,45,62%,36%,2%,0%,0%,0%,3.54
"Davis, Gregory L",ACCY 301,179,51%,34%,10%,3%,2%,1%,3.27
"Davis, Gregory L",ACCY 500,253,59%,37%,4%,0%,0%,0%,3.51
"Davis, Gregory L",ACCY 302,75,45%,51%,4%,0%,0%,0%,3.38
"Schwartz, Rachel",ACCY 502,533,70%,25%,4%,1%,0%,0%,3.63
"Schwartz, Rachel",ACCY 303,356,57%,29%,11%,3%,1%,0%,3.36
"Schwartz, Rachel",ACCY 512,566,89%,10%,1%,0%,0%,0%,3.86
"Chandler, John S",ACCY 503,70,81%,19%,0%,0%,0%,0%,3.82
"Chandler, John S",ACCY 512,1065,83%,16%,0%,0%,0%,0%,3.78
"Chandler, John S",ACCY 560,448,91%,9%,0%,0%,0%,0%,3.83
"Hecht, Gary W",ACCY 503,781,59%,38%,2%,0%,0%,1%,3.57
"Hecht, Gary W",ACCY 512,335,70%,28%,1%,0%,0%,0%,3.62
"Hecht, Gary W",ACCY 575,38,95%,5%,0%,0%,0%,0%,3.8
"Chatterton, Angel",ACCY 504,297,50%,47%,3%,0%,0%,0%,3.43
"Chatterton, Angel",ACCY 505,38,50%,47%,0%,3%,0%,0%,3.41
"Chatterton, Angel",ACCY 415,21,43%,43%,14%,0%,0%,0%,3.1
"Chatterton, Angel",ACCY 302,23,39%,52%,4%,4%,0%,0%,3.28
"Chatterton, Angel",ACCY 515,21,10%,86%,5%,0%,0%,0%,3.08
"Peecher, Mark E",ACCY 504,39,54%,46%,0%,0%,0%,0%,3.54
"Peecher, Mark E",ACCY 405,200,46%,48%,6%,0%,0%,0%,3.38
"Peecher, Mark E",ACCY 500,98,70%,27%,2%,0%,1%,0%,3.64
"Hepp, John",ACCY 510,358,56%,43%,0%,0%,0%,0%,3.54
"Du, Fei",ACCY 512,25,68%,32%,0%,0%,0%,0%,3.73
"Zhou, Yuepin",ACCY 515,88,38%,61%,1%,0%,0%,0%,3.37
"Ibrahim, Adel Nematallah",ACCY 517,1304,51%,47%,2%,0%,0%,0%,3.48
"Ibrahim, Adel Nematallah",ACCY 501,447,54%,45%,1%,0%,0%,0%,3.51
"Hart, Michael T",ACCY 552,54,56%,41%,2%,0%,2%,0%,3.46
"Engle, Howard S",ACCY 554,157,51%,49%,0%,0%,0%,0%,3.49
"Engle, Howard S",ACCY 553,59,56%,44%,0%,0%,0%,0%,3.51
"Chorvat, Elizabeth A",ACCY 556,201,65%,35%,0%,0%,0%,0%,3.61
"Chorvat, Elizabeth A",ACCY 312,124,50%,47%,2%,0%,0%,1%,3.45
"Mudd, Gregory L",ACCY 558,26,77%,19%,0%,0%,4%,0%,3.6
"Brunner, Robert J",ACCY 570,178,87%,12%,2%,0%,0%,0%,3.83
"Brunner, Robert J",ACCY 571,178,64%,31%,3%,2%,0%,0%,3.53
"Brunner, Robert J",INFO 490,762,62%,24%,9%,3%,1%,1%,3.44
"Brunner, Robert J",STAT 430,186,68%,25%,5%,2%,1%,0%,3.57
"Brunner, Robert J",ASTR 406,70,41%,31%,20%,4%,3%,0%,3
"Brunner, Robert J",ASTR 330,346,37%,40%,15%,4%,3%,0%,3.04
"Brunner, Robert J",ASTR 122,110,24%,49%,23%,4%,0%,1%,2.92
"Gundersen, Lisa C",ACE 100,1934,30%,36%,20%,10%,4%,0%,2.77
"Gundersen, Lisa C",ACE 261,70,44%,34%,14%,4%,1%,1%,3.15
"Gundersen, Lisa C",ACE 471,49,39%,39%,14%,6%,2%,0%,3.05
"Rogalla, Valerie",ACE 161,2180,60%,25%,9%,3%,3%,0%,3.37
"Lo, Alexander C",ACE 161,2369,79%,15%,4%,2%,1%,0%,3.7
"Irani, Kaizad R",ACE 199,124,92%,7%,1%,0%,0%,0%,3.89
"Christensen, Peter",ACE 210,459,39%,40%,15%,3%,3%,0%,3.08
"Stoddard, Paul B",ACE 222,1644,47%,36%,12%,3%,2%,0%,3.23
"Stoddard, Paul B",ACE 240,1257,54%,34%,7%,3%,1%,0%,3.34
"Stoddard, Paul B",ACE 341,29,90%,10%,0%,0%,0%,0%,3.85
"Stoddard, Paul B",ACE 231,902,51%,42%,6%,1%,0%,0%,3.4
"Stoddard, Paul B",ACE 232,682,32%,45%,17%,4%,1%,0%,3.03
"Lemoine, Craig",ACE 240,49,61%,31%,8%,0%,0%,0%,3.55
"Michelson, Hope C",ACE 251,138,59%,32%,7%,1%,0%,0%,3.44
"Michelson, Hope C",ACE 435,184,54%,39%,7%,1%,0%,0%,3.42
"Endres, A B",ACE 306,255,50%,37%,9%,2%,2%,0%,3.25
"Endres, A B",ACE 406,123,40%,33%,20%,6%,1%,0%,3
"Endres, A B",ACE 346,38,32%,50%,18%,0%,0%,0%,3.11
"Finnegan, Ann B",ACE 341,218,80%,15%,2%,2%,1%,0%,3.64
"Finnegan, Ann B",ACE 398,44,95%,2%,2%,0%,0%,0%,3.89
"Paulson, Nicholas D",ACE 345,1013,64%,31%,5%,1%,0%,0%,3.58
"Paulson, Nicholas D",ACE 398,25,96%,4%,0%,0%,0%,0%,3.88
"Paulson, Nicholas D",ACE 562,48,88%,12%,0%,0%,0%,0%,3.87
"Paulson, Nicholas D",ACE 564,45,87%,13%,0%,0%,0%,0%,3.81
"Breen, John",ACE 346,258,67%,28%,6%,0%,0%,0%,3.55
"Breen, John",ACES 101,30,87%,7%,7%,0%,0%,0%,3.76
"Baylis, Katherine R",ACE 411,194,62%,27%,8%,2%,1%,0%,3.45
"Baylis, Katherine R",ACE 455,197,69%,24%,4%,1%,2%,1%,3.57
"Baylis, Katherine R",ACE 251,657,40%,43%,13%,2%,1%,0%,3.14
"Mallory, Mindy L",ACE 427,200,39%,48%,9%,2%,2%,0%,3.21
"Mallory, Mindy L",ACE 428,402,53%,32%,13%,1%,0%,0%,3.31
"Robe, Michel A",ACE 428,47,28%,60%,13%,0%,0%,0%,3.11
"Kuethe, Todd H",ACE 432,90,90%,9%,1%,0%,0%,0%,3.85
"Scholl, Jon H",ACE 435,63,68%,32%,0%,0%,0%,0%,3.6
"Scholl, Jon H",ACE 199,21,95%,5%,0%,0%,0%,0%,3.97
"Schnitkey, Gary D",ACE 444,634,52%,38%,7%,2%,1%,0%,3.34
"Schnitkey, Gary D",ACE 435,302,54%,41%,4%,1%,1%,0%,3.42
"Crost, Benjamin",ACE 562,90,73%,27%,0%,0%,0%,0%,3.7
"Crost, Benjamin",ACE 564,78,73%,27%,0%,0%,0%,0%,3.7
"Crost, Benjamin",ACE 210,167,41%,44%,11%,1%,2%,1%,3.24
"Kesan, Jay P",ACE 592,46,52%,43%,4%,0%,0%,0%,3.48
"Kesan, Jay P",LAW 607,81,21%,73%,5%,0%,0%,1%,3.17
"Kesan, Jay P",LAW 797,101,37%,63%,0%,0%,0%,0%,3.35
"Kesan, Jay P",LAW 645,25,36%,64%,0%,0%,0%,0%,3.4
"Kesan, Jay P",BADM 551,47,68%,32%,0%,0%,0%,0%,3.64
"Palma Salgado, Sindy P",ACES 101,54,89%,6%,6%,0%,0%,0%,3.82
"Ogolsky, Brian G",ACES 101,22,82%,18%,0%,0%,0%,0%,3.77
"Ogolsky, Brian G",HDFS 225,42,36%,50%,12%,2%,0%,0%,3.14
"Miller, James R",ACES 101,54,81%,7%,6%,2%,4%,0%,3.59
"Miller, James R",NRES 420,122,51%,26%,18%,3%,2%,0%,3.19
"Miller, James R",NRES 456,318,35%,39%,15%,9%,2%,0%,2.96
"Helton, Caroline A",ACES 101,30,73%,13%,7%,7%,0%,0%,3.48
"Allen, Crystal A",ACES 101,46,87%,7%,0%,2%,4%,0%,3.65
"Allen, Crystal A",ANSC 110,235,83%,13%,3%,0%,1%,0%,3.75
"Murray, Joseph L",ACES 101,22,86%,5%,5%,5%,0%,0%,3.74
"Nickols, Sharon M",ACES 101,24,96%,0%,0%,0%,4%,0%,3.81
"Nickols, Sharon M",FSHN 220,53,55%,32%,11%,2%,0%,0%,3.4
"Reid, Debra A",ACES 179,285,35%,40%,18%,2%,4%,0%,2.98
"Hall, Steven R",ADV 150,2976,62%,27%,7%,2%,2%,0%,3.48
"Hall, Steven R",ADV 300,3175,55%,32%,9%,2%,2%,0%,3.38
"Wise, Kevin R",ADV 281,669,17%,49%,24%,7%,2%,0%,2.75
"Wise, Kevin R",ADV 483,45,13%,84%,2%,0%,0%,0%,3.13
"Vargas, Patrick T",ADV 281,196,16%,59%,23%,2%,1%,0%,2.89
"Vargas, Patrick T",ADV 478,66,52%,30%,14%,3%,2%,0%,3.28
"Vargas, Patrick T",ADV 481,595,17%,53%,25%,4%,1%,0%,2.81
"Vargas, Patrick T",ADV 581,35,43%,57%,0%,0%,0%,0%,3.43
"Vargas, Patrick T",ADV 490,23,83%,9%,4%,4%,0%,0%,3.71
"Vargas, Patrick T",ADV 400,117,67%,21%,13%,0%,0%,0%,3.54
"Mabry-Flynn, Amanda D",ADV 283,187,74%,23%,3%,0%,0%,0%,3.65
"Raquel, Steve A",ADV 283,278,93%,6%,0%,0%,1%,0%,3.8
"Raquel, Steve A",ADV 290,40,85%,15%,0%,0%,0%,0%,3.77
"Raquel, Steve A",ADV 490,55,87%,7%,2%,0%,4%,0%,3.64
"Raquel, Steve A",MDIA 320,81,86%,7%,2%,1%,1%,1%,3.73
"Raquel, Steve A",MDIA 370,85,76%,18%,1%,0%,5%,0%,3.58
"Raquel, Steve A",BADM 395,68,82%,15%,1%,0%,1%,0%,3.63
"Duff, Brittany",ADV 284,450,75%,23%,2%,0%,0%,0%,3.65
"Duff, Brittany",ADV 491,279,42%,54%,4%,0%,0%,0%,3.37
"Duff, Brittany",ADV 580,76,86%,14%,0%,0%,0%,0%,3.77
"Duff, Brittany",ADV 587,48,83%,17%,0%,0%,0%,0%,3.67
"Das, Susmita",ADV 284,201,71%,27%,1%,0%,0%,0%,3.62
"Ahn, Regina",ADV 284,80,75%,24%,1%,0%,0%,0%,3.61
"Yao, Mike Z",ADV 305,43,98%,2%,0%,0%,0%,0%,3.96
"Yao, Mike Z",ADV 492,67,81%,19%,0%,0%,0%,0%,3.81
"Yao, Mike Z",ADV 490,87,63%,24%,2%,2%,7%,1%,3.36
"Yao, Mike Z",ADV 310,326,46%,37%,13%,3%,1%,0%,3.21
"Wirtz, John",ADV 310,909,32%,51%,13%,1%,1%,1%,3.09
"Wirtz, John",ADV 410,58,38%,55%,5%,0%,0%,2%,3.28
"Wirtz, John",ADV 350,61,46%,44%,3%,3%,3%,0%,3.21
"Sheldon, Peter S",ADV 390,853,26%,56%,16%,1%,0%,0%,3.04
"Sheldon, Peter S",ADV 450,956,26%,57%,15%,1%,0%,0%,3.08
"Ryu, Sann H",ADV 410,63,44%,43%,13%,0%,0%,0%,3.41
"Ham, Chang Dae",ADV 460,676,67%,28%,5%,0%,0%,0%,3.6
"Ham, Chang Dae",ADV 491,48,75%,23%,2%,0%,0%,0%,3.72
"Ham, Chang Dae",ADV 490,45,82%,18%,0%,0%,0%,0%,3.77
"Ham, Chang Dae",ADV 400,103,83%,17%,0%,0%,0%,0%,3.72
"Ham, Chang Dae",ADV 483,105,83%,13%,4%,0%,0%,0%,3.73
"Sar, Sela",ADV 483,719,45%,49%,6%,1%,0%,0%,3.33
"Sar, Sela",ADV 281,169,37%,56%,5%,2%,0%,0%,3.22
"Taneja, Harsh",ADV 483,47,34%,64%,2%,0%,0%,0%,3.25
"Meron, Shachar",ADV 498,243,87%,13%,0%,0%,0%,0%,3.82
"Meron, Shachar",ADV 283,182,90%,9%,1%,1%,0%,0%,3.83
"Meron, Shachar",ADV 150,24,58%,33%,8%,0%,0%,0%,3.58
"Meron, Shachar",ADV 199,24,88%,4%,4%,0%,4%,0%,3.74
"Woodard, Brian S",AE 100,196,81%,16%,2%,1%,1%,0%,3.7
"Woodard, Brian S",AE 460,100,66%,32%,1%,0%,1%,0%,3.55
"Woodard, Brian S",AE 311,40,18%,52%,18%,5%,2%,5%,2.83
"Woodard, Brian S",AE 199,452,67%,23%,6%,2%,2%,0%,3.48
"Rovey, Joshua L",AE 100,60,67%,25%,5%,2%,2%,0%,3.49
"Laystrom-Woodar, Julia K",AE 199,146,68%,24%,4%,1%,3%,0%,3.51
"Ansell, Phillip J",AE 199,21,95%,5%,0%,0%,0%,0%,3.95
"Ansell, Phillip J",AE 416,92,39%,40%,12%,7%,2%,0%,3.03
"Ansell, Phillip J",AE 419,29,45%,41%,7%,3%,3%,0%,3.22
"Ansell, Phillip J",AE 311,54,46%,35%,15%,2%,2%,0%,3.21
"Ghosh, Alexander R",AE 202,427,51%,35%,8%,1%,4%,0%,3.25
"Bodony, Daniel J",AE 311,278,35%,38%,14%,5%,9%,0%,2.79
"Bodony, Daniel J",AE 412,172,59%,29%,9%,2%,0%,1%,3.46
"Bodony, Daniel J",AE 199,66,65%,23%,6%,5%,2%,0%,3.39
"Bodony, Daniel J",AE 312,176,27%,41%,22%,5%,5%,0%,2.76
"Dutton, J C",AE 312,524,33%,33%,23%,8%,2%,1%,2.86
"Dutton, J C",AE 460,104,78%,17%,4%,0%,0%,1%,3.7
"Dutton, J C",AE 311,335,28%,44%,24%,3%,0%,1%,2.97
"Dutton, J C",ME 510,23,83%,17%,0%,0%,0%,0%,3.84
"Dutton, J C",AE 100,134,84%,16%,0%,0%,0%,0%,3.81
"White, Scott R",AE 321,292,21%,30%,30%,14%,6%,0%,2.47
"White, Scott R",AE 526,26,65%,35%,0%,0%,0%,0%,3.55
"Geubelle, Philippe H",AE 323,160,39%,24%,21%,10%,7%,0%,2.75
"Geubelle, Philippe H",AE 100,301,74%,22%,3%,0%,1%,0%,3.67
"Geubelle, Philippe H",AE 199,103,93%,2%,1%,0%,3%,1%,3.84
"Geubelle, Philippe H",AE 470,77,43%,35%,16%,4%,3%,0%,3.1
"Geubelle, Philippe H",ME 471,48,50%,21%,15%,6%,8%,0%,2.94
"Ho, Koki",AE 352,153,68%,28%,3%,0%,1%,0%,3.54
"Ho, Koki",AE 403,57,65%,32%,4%,0%,0%,0%,3.55
"Voulgaris, Petros G",AE 353,288,23%,48%,26%,1%,1%,0%,2.89
"Prussing, John E",AE 402,117,42%,50%,6%,0%,3%,0%,3.22
"Prussing, John E",AE 352,95,20%,41%,39%,0%,0%,0%,2.77
"Elliott, Gregory S",AE 416,55,53%,22%,22%,2%,2%,0%,3.17
"Elliott, Gregory S",AE 460,328,84%,15%,1%,0%,0%,0%,3.78
"Elliott, Gregory S",AE 100,52,73%,25%,0%,0%,0%,2%,3.78
"Panesi, Marco",AE 433,345,42%,35%,15%,6%,1%,0%,3.08
"Panesi, Marco",AE 410,97,78%,16%,2%,0%,3%,0%,3.63
"D'Urso, Steven J",AE 442,270,59%,33%,6%,0%,1%,0%,3.45
"D'Urso, Steven J",AE 443,101,78%,21%,1%,0%,0%,0%,3.71
"D'Urso, Steven J",AE 498,37,68%,24%,8%,0%,0%,0%,3.58
"Putnam, Zachary R",AE 442,96,22%,50%,16%,6%,5%,1%,2.8
"Putnam, Zachary R",AE 443,79,70%,25%,5%,0%,0%,0%,3.5
"Balajewicz, Maciej",AE 451,55,60%,38%,2%,0%,0%,0%,3.57
"Balajewicz, Maciej",AE 410,72,62%,21%,11%,3%,3%,0%,3.34
"Namachchivaya, N S",AE 454,87,66%,31%,1%,0%,0%,2%,3.64
"Namachchivaya, N S",AE 352,463,32%,41%,21%,3%,3%,1%,2.97
"Namachchivaya, N S",AE 302,50,86%,12%,0%,0%,2%,0%,3.8
"Bretl, Timothy W",AE 483,421,73%,18%,5%,2%,1%,0%,3.59
"Bretl, Timothy W",AE 353,261,71%,19%,3%,3%,3%,1%,3.5
"Bretl, Timothy W",AE 352,121,69%,16%,9%,2%,5%,0%,3.4
"Bretl, Timothy W",ECE 470,58,69%,24%,5%,2%,0%,0%,3.61
"Bretl, Timothy W",AE 100,49,94%,2%,2%,0%,0%,2%,3.91
"Langbort, Cedric",AE 504,24,71%,29%,0%,0%,0%,0%,3.6
"Langbort, Cedric",AE 100,37,81%,19%,0%,0%,0%,0%,3.78
"Langbort, Cedric",AE 202,44,59%,32%,9%,0%,0%,0%,3.46
"Langbort, Cedric",AE 302,83,34%,55%,11%,0%,0%,0%,3.22
"McMillion, Desiree Y",AFRO 100,306,65%,23%,8%,1%,3%,0%,3.4
"McMillion, Desiree Y",GS 101,215,87%,8%,5%,0%,0%,0%,3.78
"Cha-Jua, Sundiata",AFRO 101,183,39%,34%,13%,4%,8%,1%,2.93
"Meyers, John P",AFRO 132,55,67%,31%,2%,0%,0%,0%,3.62
"Meyers, John P",GCL 145,23,74%,26%,0%,0%,0%,0%,3.68
"Neville, Helen A",AFRO 411,105,48%,35%,13%,3%,0%,1%,3.27
"Cupps-Miller, Heather A",AGCM 110,22,82%,14%,5%,0%,0%,0%,3.76
"Cupps-Miller, Heather A",AGCM 220,52,65%,15%,8%,4%,8%,0%,3.24
"Cupps-Miller, Heather A",AGCM 315,29,79%,21%,0%,0%,0%,0%,3.82
"Cupps-Miller, Heather A",RST 199,22,45%,18%,36%,0%,0%,0%,3.21
"Cupps-Miller, Heather A",AGCM 270,121,67%,18%,5%,6%,4%,0%,3.4
"Cupps-Miller, Heather A",ADV 400,62,87%,10%,0%,0%,3%,0%,3.77
"Keating, Kari H",AGED 230,167,75%,16%,6%,2%,0%,1%,3.61
"Keating, Kari H",AGED 480,311,84%,14%,2%,0%,0%,0%,3.78
"Keating, Kari H",AGED 310,23,61%,35%,4%,0%,0%,0%,3.57
"Keating, Kari H",AGED 260,30,63%,30%,7%,0%,0%,0%,3.56
"Burgoon, Lisa A",AGED 260,2226,66%,25%,6%,2%,1%,0%,3.52
"Korte, Debra S",AGED 280,191,75%,17%,3%,3%,2%,0%,3.56
"Korte, Debra S",AGED 300,100,85%,12%,3%,0%,0%,0%,3.82
"Korte, Debra S",AGED 499,30,80%,20%,0%,0%,0%,0%,3.79
"Collins, Jasmine D",AGED 340,62,60%,29%,2%,5%,5%,0%,3.29
"Collins, Jasmine D",AGED 380,84,81%,15%,2%,0%,1%,0%,3.63
"Rosch, David M",AGED 380,427,76%,21%,2%,0%,1%,0%,3.64
"Rosch, David M",AGED 360,74,72%,23%,4%,1%,0%,0%,3.62
"Rosch, David M",AGED 340,55,91%,7%,2%,0%,0%,0%,3.82
"Rosch, David M",AGED 260,46,78%,22%,0%,0%,0%,0%,3.75
"Rasberry, Moses K",AHS 199,109,77%,14%,5%,2%,3%,0%,3.61
"Thompson, Marc",AHS 494,55,76%,11%,4%,2%,7%,0%,3.4
"Soto, Silvia",AIS 101,22,50%,41%,5%,0%,5%,0%,3.3
"Parrett, Douglas F",ANSC 100,1811,45%,39%,13%,1%,1%,0%,3.31
"Parrett, Douglas F",ANSC 401,402,74%,21%,4%,0%,0%,0%,3.72
"Cobb, Alan R",ANSC 103,312,98%,2%,0%,0%,0%,0%,3.98
"Cobb, Alan R",ANSC 402,244,83%,16%,2%,0%,0%,0%,3.81
"Kline, Kevin H",ANSC 206,520,82%,16%,2%,0%,0%,0%,3.8
"Kline, Kevin H",ANSC 199,53,98%,2%,0%,0%,0%,0%,3.98
"Kline, Kevin H",ANSC 306,317,74%,23%,3%,0%,0%,0%,3.7
"Kline, Kevin H",ANSC 294,70,96%,3%,0%,0%,1%,0%,3.91
"Lewis, Justin D",ANSC 207,75,84%,9%,5%,0%,0%,1%,3.78
"Hackett, Mary E",ANSC 207,188,87%,11%,2%,1%,0%,0%,3.81
"Elliott, Alexandria F",ANSC 207,84,81%,10%,6%,2%,1%,0%,3.67
